absolutely абсолютно
academic академический
access доступ
accommodation размещение
account счет
achievement достижение
act действовать
ad объявление
addition добавление
admire восхищаться
admit признавать
advanced передовой
advise советовать
afford предоставлять
age возраст
aged в возрасте
agent агент
agreement соглашение
ahead предстоящий
aim цель
alarm тревога
album альбом
alcohol алкоголь
alcoholic алкоголик
alternative альтернатива
amazed поражен
ambition амбиция
ambitious амбициозный
analyse анализировать
analysis анализ
announce объявить
announcement объявление
annoy раздражать
annoyed раздраженный
annoying раздражающий
apart отдельно
apologize извиняться
application приложение
appointment встреча
appreciate ценить
approximately примерно
arrest арестовывать
arrival прибытие
assignment назначение
assist помочь
atmosphere атмосфера
attach прикреплять
attitude отношение
attract привлекать
attraction Привлечение
authority власть
average средний
award награда
aware осведомленный
backwards назад
bake выпекать
balance баланс
ban запрет
bank банк
base база
basic базовый
basis основа
battery батарея
battle боевой
beauty красота
bee пчела
belief вера
bell колокол
bend сгибать
benefit выгода
better лучше
bite кусать
block блокировать
board доска
bomb бомбить
border граница
bother беспокоить
branch ветвь
brand марка
brave храбрый
breath дыхание
breathe дышать
breathing дыхание
bride невеста
bubble пузырь
bury хоронить
by к
calm спокойствие
campaign кампания
campus кампус
candidate кандидат
cap кепка
captain капитан
careless беспечный
category категория
ceiling потолок
celebration праздник
central центральный
centre центр
ceremony церемония
chain цепь
challenge испытание
champion чемпион
channel канал
chapter глава
charge заряжать
cheap дешевый
cheat изменять
cheerful жизнерадостный
chemical химический
chest грудь
childhood детство
claim требовать
clause пункт
clear прозрачный
click нажмите
client клиент
climb взбираться
close закрывать
cloth ткань
clue зацепка
coach тренер
coal уголь
coin монета
collection коллекция
coloured цветной
combine комбинировать
comment комментарий
commercial коммерческий
commit совершить
communication коммуникация
comparison сравнение
competitor конкурент
competitive конкурентоспособный
complaint жалоба
complex сложный
concentrate сконцентрироваться
conclude заключить
conclusion заключение
confident уверенный
confirm подтверждать
confuse путать
confused смущенный
connection связь
consequence последствие
consist состоять
consume потреблять
consumer потребитель
contact контакт
container контейнер
content содержание
continuous непрерывный
contrast контраст
convenient удобный
convince убеждать
cool прохладный
costume костюм
cottage коттедж
cotton хлопок
count считать
countryside сельская местность
court суд
cover крышка
covered покрытый
cream крем
criminal преступник
cruel жестокий
cultural культурный
currency валюта
current текущий
currently в настоящее время
curtain занавес
custom обычай
cut резать
daily ежедневно
damage повреждать
deal иметь дело
decade десятилетие
decorate украшать
deep глубокий
define определять
definite определенный
definition определение
deliver доставлять
departure отправление
despite несмотря на
destination место назначения
determine определять
determined определенный
development разработка
diagram диаграмма
diamond алмаз
difficulty трудность
direct прямой
directly напрямую
dirt грязь
disadvantage недостаток
disappointed расстроенный
disappointing разочаровывающий
discount скидка
dislike не нравится
divide разделять
documentary документальный
donate пожертвовать
double двойной
doubt сомневаться
dressed одетый
drop уронить
drum барабан
drunk пьяный
due должный
dust пыль
duty долг
earthquake землетрясение
eastern восточный
economic экономический
economy экономика
edge край
editor редактор
educate воспитывать
educated образованный
educational образовательный
effective эффективный
effectively эффективно
effort усилие
election выборы
element элемент
embarrassed смущенный
embarrassing смущающий
emergency чрезвычайная ситуация
emotion эмоция
employment работа
empty пустой
encourage поощрять
enemy враг
engaged помолвлен
engineering инженерия
entertain развлекать
entertainment развлечение
entrance вход
entry вход
environmental относящийся к окружающей среде
episode эпизод
equal равный
equally в равной степени
escape побег
essential существенный
eventually в конце концов
examine исследовать
except кроме
exchange обмен
excitement возбуждение
exhibition выставка
expand расширять
expected ожидал
expedition экспедиция
experience опыт
experienced опытный
experiment эксперимент
explode взорваться
explore исследовать
explosion взрыв
export экспорт
extra дополнительный
face лицо
fairly весьма
familiar привычный
fancy изысканный
far далеко
fascinating очаровательный
fashionable модный
fasten застегнуть
favour услуга
fear страх
feature особенность
fence изгородь
fighting борьба
file файл
financial финансовый
fire огонь
