abandon покидать
absolute абсолютный
academic академический
acceptable приемлемый
accompany сопровождать
account счет
accurate точный
accuse обвинять
acknowledge сознавать
acquire приобретать
actual действительный
adapt адаптировать
additional дополнительный
address адрес
administration администрация
adopt усыновить
advance продвигать
affair роман
afterwards после
agency агентство
agenda повестка дня
aggressive агрессивный
aid помогать
aircraft самолет
alarm тревога
alter изменить
amount количество
anger злость
angle угол
anniversary годовщина
annual ежегодный
anxious тревожный
apparent очевидный
apparently видимо
appeal обращаться
approach подход
appropriate соответствующий
approval одобрение
approve утвердить
arise возникать
armed вооруженный
arms оружие
artificial искусственный
artistic художественный
ashamed стыдящийся
aspect аспект
assess оценивать
assessment оценка
associate ассоциированный
associated связанный
association ассоциация
assume предполагать
attempt пытаться
back назад
bacteria бактерии
bar бар
barrier барьер
basically по сути
battle боевой
bear медведь
beat бить
beg очень прошу
being существование
bent согнутый
bet делать ставку
beyond вне
bill счет
bitter горький
blame обвинять
blind слепой
bond связь
border граница
breast грудь
brief краткий
broad широкий
broadcast транслировать
budget бюджет
bullet пуля
bunch связка
burn гореть
bush куст
but но
cable кабель
calculate рассчитать
cancel отмена
cancer рак
capable способный
capacity емкость
capture захватывать
cast бросать
catch ловить
cell клетка
chain цепь
chair стул
chairman председатель
challenge испытание
characteristic характеристика
chart диаграмма
chief главный
circumstance обстоятельство
cite цитировать
citizen гражданин
civil гражданский
classic классический
close закрывать
closely тесно
collapse крах
combination комбинация
comfort комфорт
command команда
commission комиссия
commitment обязательство
committee комитет
commonly обычно
complex сложный
complicated сложный
component компонент
concentration концентрация
concept концепция
concern беспокойство
concerned обеспокоенный
conduct руководить
confidence уверенность
conflict конфликт
confusing сбивает с толку
conscious сознательный
conservative консерватор
consideration рассмотрение
consistent последовательный
constant постоянный
constantly постоянно
construct построить
construction строительство
contemporary современный
contest конкурс
contract договор
contribute способствовать
contribution вклад
convert конвертировать
convinced убежденный
core основной
corporate корпоративный
council совет
county округ
courage храбрость
crash крушение
creation создание
creature существо
credit кредит
crew экипаж
crisis кризис
criterion критерий
critic критик
critical критический
criticism критика
criticize критиковать
crop обрезать
crucial ключевой
cry плакать
cure излечивать
current текущий
curve изгиб
curved изогнутый
date дата
debate дебаты
debt долг
decent приличный
declare объявить
decline отклонить
decoration украшение
decrease снижаться
deeply глубоко
defeat поражение
defence защита
defend защищать
delay задерживать
deliberate преднамеренный
deliberately умышленно
delight восторг
delighted получивший удовольствие
delivery доставка
demand требовать
demonstrate продемонстрировать
deny отрицать
depressed депрессия
depressing депрессивный
depth глубина
desert пустыня
deserve заслуживать
desire желание
desperate отчаянный
detail деталь
detailed подробный
detect обнаружить
dig копать
disc диск
discipline дисциплина
discount скидка
dishonest нечестный
dismiss увольнять
display отображать
distribute распространять
distribution распределение
district округ
divide разделять
division разделение
document документ
domestic одомашненный
dominate доминировать
downwards вниз
dozen дюжина
draft черновик
drag тащить
dramatic драматический
edit редактировать
edition версия
efficient эффективный
elderly пожилой
elect избирать
elsewhere в другом месте
emerge появляться
emotional эмоциональный
emphasis акцент
emphasize подчеркивать
enable давать возможность
encounter сталкиваться
engage привлекать
enhance усиливать
enquiry расследование
ensure гарантировать
enthusiasm энтузиазм
enthusiastic восторженный
entire весь
entirely полностью
equal равный
establish учреждать
estate имущество
estimate оценивать
ethical этический
evaluate оценивать
even даже
evil зло
examination экзамен
excuse извинение
executive исполнительный
existence существование
expectation ожидание
expense расход
exploration исследование
expose разоблачать
extend продлевать
extent степень
external внешний
extraordinary экстраординарный
extreme крайний
facility средство
failure отказ
faith вера
fault вина
favour услуга
feather перо
fee платеж
feed кормить
feedback обратная связь
feel чувствовать
fellow парень
figure фигура
file файл
finance финансы
finding найти
firm твердый
fix исправить
flame пламя
flash вспышка
flexible гибкий
float плавать
fold складывать
folding складной
following следующий
forgive простить
former бывший
fortune удача
forward вперед
found найденный
free бесплатно
freedom свобода
frequency частота
fuel топливо
fully в полной мере
function функция
fund фонд
fundamental фундаментальный
funding финансирование
furthermore более того
gain прирост
gang банда
generate генерировать
genre жанр
govern управлять
grab схватить
grade оценка
gradually постепенно
grand великий
grant грант
guarantee гарантия
handle ручка
harm вред
harmful вредный
hearing слух
heaven небеса
heel каблук
hell ад
hesitate сомневаться
high высокий
hire нанимать
hold держать
hollow пустой
holy святой
honour честь
host хозяин
house дом
household семья
housing Корпус
humorous юмористический
humour юмор
hunt охотиться
hunting охота
hurt повредить
ideal идеальный
illustrate иллюстрировать
illustration иллюстрация
imagination воображение
impatient нетерпеливый
imply подразумевать
impose навязывать
impress произвести впечатление
impressed впечатленный
inch дюйм
incident инцидент
income доход
increasingly все больше
industrial промышленный
infection инфекционное заболевание
inform поставить в известность
initial исходный
initially изначально
initiative инициатива
inner внутренний
insight понимание
insist настаивать
inspire вдохновлять
install установить
instance пример
institute институт
institution учреждение
insurance страхование
intended намеревался
intense интенсивный
internal внутренний
interpret интерпретировать
interrupt прерывать
investigation расследование
investment инвестиции
issue проблема
joy радость
judgement суждение
junior младший
justice справедливость
justify оправдывать
labour труд
landscape пейзаж
largely во многом
latest последний
launch запуск
leadership лидерство
league лига
lean наклонять
leave оставлять
level уровень
licence лицензия
limited ограниченное
line линия
