about о
above выше
activity активность
actress актриса
add добавлять
adult взрослый
after после
afternoon полдень
again снова
age возраст
ago назад
agree соглашаться
air воздух
all все
also также
always всегда
amazing удивительный
angry злой
answer отвечать
anyone любой
anything что-либо
apple яблоко
April апрель
area область
arm рука
art искусство
article статья
artist художник
as как
ask просить
at в
August Август
aunt тетя
autumn осень
away прочь
baby малыш
bad плохой
bag сумка
ball мяч
banana банан
bank банк
bathroom ванная комната
beautiful красивый
because потому что
become становиться
bedroom Спальня
beer пиво
beginning начало
best лучший
better лучше
between между
bicycle велосипед
big большой
black черный
blonde блондинка
boat лодка
book книга
boot ботинок
bored скучающий
both оба
bottle бутылка
box коробка
boyfriend дружок
bread хлеб
break перерыв
bring приносить
brother брат
build строить
bus автобус
busy занятый
bye пока
can1 может1
career карьера
carrot морковь
cat кот
cent цент
chart диаграмма
cheap дешевый
check проверять
cheese сыр
child ребенок
city город
class сорт
classroom класс
clean чистый
clock Часы
clothes одежда
club клуб
coat пальто
colour цвет
compare сравнивать
complete полный
computer компьютер
concert концерт
cooking Готовка
cool прохладный
correct правильный
course курс
cousin двоюродный брат
cow корова
create создавать
cut резать
dad папа
dance танец
dancer танцор
dangerous опасный
dark темный
day день
dear дорогой
December Декабрь
decide решать
describe описывать
design дизайн
desk рабочий стол
dialogue диалог
diet диета
different другой
difficult трудный
dinner ужин
dish блюдо
doctor врач
dog собака
dollar доллар
door дверь
down вниз
draw рисовать
dress одеваться
drink напиток
during в течение
DVD DVD
each каждый
ear ухо
early рано
east восток
easy легкий
eat есть
egg яйцо
eight восемь
eighteen восемнадцать
email электронная почта
end конец
enough достаточно
evening вечер
everybody все
exam экзамен
excited взволнованный
exciting захватывающий
exercise упражнение
explain объяснять
eye глаз
face лицо
fact факт
famous известный
fantastic фантастика
far далеко
farm ферма
fast быстрый
father отец
favourite любимый
fifteen пятнадцать
fifth пятый
fill наполнять
final окончательный
find находить
fine отлично
first первый
fish рыба
five пять
flight полет
flower цветок
fly летать
football футбол
form форма
four четыре
fourteen четырнадцать
Friday Пятница
friend друг
friendly дружелюбно
from от
fruit фрукты
full полный
fun веселье
funny забавный
garden сад
girlfriend Подруга
glass стекло
good хороший
goodbye до свидания
grandfather Дед
grandmother бабушка
great большой
green зеленый
grey серый
grow расти
guess предполагать
guitar гитара
gym спортзал
hair волосы
half половина
happen случаться
happy счастливый
hard жесткий
hat шапка
hate ненавидеть
have иметь
he он
head голова
health здоровье
healthy здоровый
hear слышать
help помощь
her ее
here здесь
hi привет
high высокий
his его
history история
hobby хобби
home дом
homework домашнее задание
hope надеяться
horse лошадь
hospital больница
however однако
hungry голодный
ice лед
ice лед
idea идея
if если
imagine представлять себе
important важный
improve улучшать
in в
include включать
interest интерес
interested заинтересован
interesting интересный
internet Интернет
interview интервью
introduce представлять
island остров
its его
jacket куртка
January январь
jeans джинсы
job работа
juice сок
June Июнь
keep держать
kind добрый
kitchen кухня
know знать
land земля
later позже
laugh смех
learn учиться
leave оставлять
leg нога
lesson урок
let позволять
life жизнь
light свет
like нравиться
like нравиться
lion лев
listen слушать
little маленький
local местный
lose терять
lot много
lunch обед
machine машина
magazine журнал
make делать
man мужчина
March Маршировать
married женатый
match соответствовать
meal еда
mean иметь в виду
meaning значение
meat мясо
meet встретиться
member член
menu меню
message сообщение
metre метр
midnight полночь
million миллион
mistake ошибка
modern современный
moment момент
month месяц
more более
morning утро
most большинство
mouse мышь
mouth рот
movie фильм
much много
mum мама
music музыка
my мой
name имя
natural естественный
near около
need нуждаться
negative отрицательный
neighbour сосед
newspaper газета
next следующий
nice хороший
nine девять
ninety девяносто
nobody никто
north север
nose нос
not нет
note примечание
nothing ничего
November ноябрь
now сейчас
nurse медсестра
October Октябрь
off выключенный
office офис
often часто
oh ой
on на
onion лук
online В сети
only только
or или
orange апельсин
other другой
our наш
out вне
outside снаружи
over над
page страница
painting рисование
pair пара
paper бумага
paragraph параграф
parent родитель
park парк
party вечеринка
passport заграничный пасспорт
past прошлое
pay платить
period период
personal личный
phone телефон
photo Фото
photograph фотография
phrase фраза
piano пианино
picture картина
piece кусок
pink розовый
place место
plan план
player игрок
please пожалуйста
point точка
police полиция
policeman полицейский
poor бедный
positive положительный
pound фунт
practice упражняться
prefer предпочитать
prepare подготовить
price цена
problem проблема
programme программа
purple фиолетовый
put помещать
question вопрос
quick быстрый
quiet тихий
quite довольно
radio радио
ready готовый
real настоящий
really Действительно
red красный
relax расслабляться
remember помнить
repeat повторить
report отчет
restaurant ресторан
result результат
return возвращаться
rice рис
right верно
river река
road дорога
room комната
routine рутина
sad грустный
same такой же
sandwich бутерброд
Saturday Суббота
science наука
second1 второй1
number число
second1 второй1
section раздел
sell продавать
send отправлять
September Сентябрь
seventy семьдесят
shirt рубашка
shopping Покупка
short короткий
shower душ
similar похожий
sing петь
singer певец
sister сестра
sit сидеть
six шесть
sixteen шестнадцать
skill навык
skirt юбка
sleep спать
slow медленный
snow снег
so так
somebody кто-нибудь
someone кто-то
something что-нибудь
son сын
song песня
sorry извини
sound звук
south юг
space космос
spelling написание
spend тратить
spring весна
stand стоять
star звезда
statement заявление
station станция
stay оставаться
still все еще
stop останавливаться
street улица
study изучать
subject предмет
success успех
sugar сахар
summer лето
sun солнце
supermarket супермаркет
sure конечно
swim плавать
table стол
take брать
talk разговаривать
teacher учитель
team команда
television телевидение
ten десять
terrible ужасный
than чем
thank благодарить
that что
then затем
there там
they они
third третий
thirsty испытывающий жажду
thirteen тринадцать
this этот
thousand тысяча
three три
Thursday Четверг
ticket билет
tired усталый
to к
today сегодня
together вместе
tomato помидор
tomorrow завтра
too слишком
tooth зуб
topic тема
tourist турист
town город
travel путешествовать
tree дерево
trip путешествие
true истинный
try пытаться
two два
under под
university Университет
up вверх
upstairs вверх по лестнице
use использовать
usually обычно
vacation отпуск
very очень
village деревня
visit посещать
visitor посетитель
wait ждать
walk ходить
warm теплый
wash стирать
we мы
weather погода
Wednesday Среда
weekend выходные
well хорошо
west запад
what что
when когда
who ВОЗ
why почему
wife жена
will воля
window окно
wine вино
winter зима
without без
woman женщина
wonderful замечательный
work работа
writer писатель
wrong неправильный
yeah ага
year год
yellow желтый
yes да
yesterday вчера
young молодой
your твой
yourself сам





