ability способность
able способный
abroad за границей
accept принимать
accident несчастный случай
according согласно
achieve достигать
act действовать
active активный
actually на самом деле
adult взрослый
advantage преимущество
adventure приключение
advertise рекламировать
advertisement реклама
advertising реклама
affect оказывать воздействие
after после
against против
airline авиакомпания
alive живой
allow позволять
almost почти
alone один
along вдоль
already уже
alternative альтернатива
although хотя
among среди
amount количество
ancient древний
ankle лодыжка
any любой
anybody кто-нибудь
any любой
anyway в любом случае
anywhere в любом месте
app приложение
appear появляться
appearance появление
apply применять
architect архитектор
architecture архитектура
argue спорить
argument аргумент
army армия
arrange договариваться
arrangement договоренность
as как
asleep спящий
assistant помощник
athlete спортсмен
attack атака
attend посещать
attention внимание
attractive привлекательный
audience аудитория
author автор
available доступный
average средний
avoid избегать
award награда
awful ужасный
back назад
background фон
badly плохо
bar бар
baseball бейсбол
based основанный на
basketball баскетбол
bean фасоль
bear медведь
beat бить
beef говядина
before до
behave вести себя
behaviour поведение
belong принадлежать
belt пояс
benefit выгода
best лучший
better лучше
between между
billion миллиард
bin мусорное ведро
biology биология
birth рождение
biscuit бисквит
bit кусочек
blank пустой
blood кровь
blow дуть
board доска
boil кипятить
bone кость
book книга
borrow занимать
boss босс
bottom нижний
bowl чаша
brain мозг
bridge мост
bright яркий
brilliant блестящий
broken сломанный
brush щетка
burn гореть
businessman бизнесмен
button кнопка
camp лагерь
camping Отдых на природе
can может
care Забота
careful осторожный
carefully осторожно
carpet ковер
cartoon мультфильм
case случай
cash наличные
castle замок
catch ловить
cause причина
celebrate праздновать
celebrity знаменитость
certain определенный
certainly конечно
chance шанс
character характер
charity благотворительность
chat чат
check проверять
chef повар
chemistry химия
chip чип
choice выбор
church церковь
cigarette сигарета
circle круг
classical классический
clear прозрачный
clearly четко
clever умный
climate климат
close закрывать
closed закрыто
clothing одежда
cloud облако
coach тренер
coast побережье
code код
colleague коллега
collect собирать
column столбец
comedy комедия
comfortable комфортный
comment комментарий
communicate общаться
community сообщество
compete конкурировать
competition соревнование
complain жаловаться
completely полностью
condition состояние
conference конференция
connect соединять
connected связанный
consider учитывать
contain содержать
context контекст
continent континент
continue продолжать
control контроль
cook готовить
cooker плита
copy копировать
corner угол
correctly правильно
count считать
couple пара
cover крышка
crazy сумасшедший
creative творческий
credit кредит
crime преступление
criminal преступник
cross крест
crowd толпа
crowded переполненный
cry плакать
cupboard буфет
curly кудрявый
cycle цикл
daily ежедневно
danger Опасность
dark темный
data данные
dead мертвый
deal иметь дело
dear дорогой
death смерть
decision решение
deep глубокий
definitely определенно
degree степень
dentist Дантист
department отделение
depend зависеть
desert пустыня
designer дизайнер
destroy разрушать
detective детектив
develop развивать
device устройство
diary дневник
differently иначе
digital цифровой
direct прямой
direction направление
director директор
disagree не согласен
disappear пропадать
disaster катастрофа
discover обнаружить
discovery открытие
discussion обсуждение
disease болезнь
distance расстояние
divorced в разводе
document документ
double двойной
download скачать
downstairs вниз по лестнице
drama драма
drawing рисунок
dream мечтать
drive водить машину
driving вождение
drop уронить
drug лекарство
dry сухой
earn зарабатывать
earth земля
easily легко
education образование
effect эффект
either или
electric электрический
electrical электрический
electricity электричество
electronic электронный
employ нанимать
employee сотрудник
employer работодатель
empty пустой
ending окончание
energy энергия
engine двигатель
engineer инженер
enormous громадный
enter входить
environment среда
equipment оборудование
error ошибка
especially особенно
essay сочинение
everyday каждый день
everywhere повсюду
evidence доказательство
exact точный
exactly точно
excellent отличный
except кроме
exist существовать
expect ожидать
experience опыт
experiment эксперимент
expert эксперт
explanation объяснение
express выражать
expression выражение
extreme крайний
extremely очень сильно
factor фактор
factory фабрика
fail неудача
fair справедливый
fall падать
fan вентилятор
farm ферма
farming сельское хозяйство
fashion мода
fat толстый
fear страх
feature особенность
feed кормить
female женский
fiction вымысел
field поле
fight драться
figure фигура
film фильм
final окончательный
finally окончательно
finger Палец
finish заканчивать
first первый
firstly во-первых
fish рыба
fishing ловит рыбу
fit соответствовать
fix исправить
flat плоский
flu грипп
fly летать
flying летающий
focus фокус
following следующий
foreign иностранный
forest лес
fork вилка
formal формальный
fortunately к счастью
forward вперед
free бесплатно
fresh свежий
fridge холодильник
frog лягушка
fun веселье
furniture мебель
further дальше
future будущее
gallery галерея
gap зазор
gas газ
gate ворота
general общий
gift подарок
goal цель
god бог
gold золото
golf гольф
good хороший
government правительство
grass трава
greet приветствовать
ground земля
guest гость
guide гид
gun пистолет
guy парень
habit привычка
half половина
hall зал
happily счастливо
have иметь
headache головная боль
heart сердце
heat нагревать
heavy тяжелый
height высота
helpful полезный
hero герой
hers ее
herself сама
hide скрывать
high высокий
hill холм
himself сам
his его
hit ударять
hockey хоккей
hold держать
hole дыра
home дом
hope надеяться
huge огромный
human человек
hurt повредить
ideal идеальный
identify идентифицировать
ill больной
illness болезнь
image изображение
immediately немедленно
impossible невозможный
included включены
including включая
increase увеличивать
incredible невероятный
independent независимый
individual индивидуальный
industry промышленность
informal неофициальный
injury рана
insect насекомое
inside внутри
instead вместо
instruction инструкция
instructor инструктор
instrument инструмент
intelligent разумный
international Международный
introduction введение
invent изобретать
invention изобретение
invitation приглашение
invite приглашать
involve вовлекать
item элемент
itself сам
jam варенье
jazz джаз
jewellery украшения
joke шутить
journalist журналист
jump Прыгать
kid ребенок
kill убийство
king король
knee колено
knife нож
knock стучать
knowledge знание
lab лаборатория
lady леди
lake озеро
lamp лампа
land земля
laptop ноутбук
last последний
last последний
later позже
laughter смех
law закон
lawyer адвокат
lazy ленивый
lead вести
leader лидер
learning обучение
least наименее
lecture лекция
lemon лимон
lend одалживать
less меньше
level уровень
lifestyle Стиль жизни
lift поднимать
light свет
light свет
likely вероятный
